Feature,Baseline System,AgriTwin-GH
Real-time sensor monitoring,✅ Yes,✅ Yes (10 sensors)
Temperature & Humidity display,✅ Yes,✅ Yes + context
Soil moisture monitoring,✅ Yes,✅ Yes + irrigation control
Light measurement,✅ Yes,✅ Yes + day/night patterns
Actuator status display,✅ ON/OFF only,✅ Continuous (0-1) + logic
Resource usage tracking,✅ Basic,"✅ Detailed (kWh, L)"
Disease risk prediction,❌ No,✅✅ Yes (0-100 index)
Growth stage detection,❌ No,✅✅ Yes (ML-based)
Digital twin simulation,❌ No,✅✅ Yes (grey-box model)
What-if scenario analysis,❌ No,✅✅ Yes (multi-scenario)
MPC-like control,❌ No,✅✅ Yes (stage-aware)
Non-verbal alerts,❌ No,✅✅ Yes (color + icons)
Multi-crop support,❌ No,✅ Tomato & Strawberry
Data export/logging,✅ Basic,✅ CSV + events log
